Nome;Tipo;Materiale;Colore;Dimensioni;Prezzo;Zona;link
"3 Posti ""Relax""";Divano;Tessuto antimacchia;Grigio antracite;200x90x85 cm;799€;Living;https://drive.google.com/file/d/1DJtFUaWylrMK30lLCCw91Y7Qx0FuWITk/view?usp=sharing
"3 Posti ""Relax""";Divano;Pelle ecologica;Nero;200x90x85 cm;899€;Living;https://drive.google.com/file/d/1DJHBqQ2bKmb7ooi5cLiJv4uJc5YmFgDY/view?usp=sharing
Comfort;Poltrona;Pelle ecologica;Marrone scuro;85x85x100 cm;299€;Living;https://drive.google.com/file/d/1DFbL0RZwa2inyE-dE497AYSpuVUDXYiY/view?usp=sharing
Comfort;Poltrona;Tessuto;Blu;85x85x100 cm;279€;Living;https://drive.google.com/file/d/1DFBOt2ckkOhCAlYhCoN7CwriC6wHhXjc/view?usp=sharing
Elegance;Tavolo;Legno massello di rovere;Naturale;180x90x75 cm;699€;Cucina;https://drive.google.com/file/d/1DCUrDwWBwCTKYBDVP3bONmub38WP038E/view?usp=sharing
Elegance;Tavolo;Vetro temperato e acciaio;Trasparente e cromo;180x90x75 cm;799€;Cucina;https://drive.google.com/file/d/1D7_O2U8RJtnTuv8xMHmREe3vtJkh0Y7F/view?usp=sharing
Classic (set di 4);Sedia;Legno di faggio;Bianco;45x45x90 cm;399€;Cucina;https://drive.google.com/file/d/1D6-okbU5aWxuxwvFe4lBGBYw5Feo5YCB/view?usp=sharing
Classic (set di 4);Sedia;Plastica rinforzata;Rosso;45x45x90 cm;199€;Cucina;https://drive.google.com/file/d/1D3NWNkwDWV4WG7_qhAusYNtc-9qWscse/view?usp=sharing
"Matrimoniale Dream""""";Letto;Legno di pino;Naturale;160x200 cm;599€;Camera da letto;https://drive.google.com/file/d/1CyLjOWf2Rv0twzseS7zpy18LYRVD5-P2/view?usp=sharing
"Matrimoniale Dream""""";Letto;Metallo;Nero;160x200 cm;499€;Camera da letto;https://drive.google.com/file/d/1EP0UKkfcUk5AXkiuAn-uGqO-QRFoMmHj/view?usp=sharing
Simple;Comodino;MDF;Bianco;45x35x55 cm;79€;Camera da letto;https://drive.google.com/file/d/1ENVDsWMm7t3IcEIWhstrnzP89fHxa8NY/view?usp=sharing
Simple;Comodino;Legno massello;Noce;45x35x55 cm;99€;Camera da letto;https://drive.google.com/file/d/1EKrq-0tvNJ29Y3l5tFDAOW9rfgdxyBew/view?usp=sharing
"3 Ante Spacious""""";Armadio;Laminato;Rovere chiaro;180x60x200 cm;499€;Camera da letto;https://drive.google.com/file/d/1EIYx7YDQV2guOgtA06P56dqKnO_tsgb9/view?usp=sharing
"3 Ante Spacious""""";Armadio;Legno massello;Bianco;180x60x200 cm;599€;Camera da letto;https://drive.google.com/file/d/1E1TV-8inZWIphydY7kzdNKKSiel1oDQH/view?usp=sharing
Modern;Libreria;Metallo e legno;Nero e rovere;90x30x180 cm;199€;Living;https://drive.google.com/file/d/1Ds9XkpmxQtFTJj9duWZe2gGH56x9-gc4/view?usp=sharing
Modern;Libreria;Laminato;Bianco;90x30x180 cm;149€;Living;https://drive.google.com/file/d/1Dq1P3h-GJx7S01-0C-_JgVqWX8jMpC42/view?usp=sharing
Office;Scrivania;MDF e metallo;Bianco e nero;120x60x75 cm;149€;Studio;https://drive.google.com/file/d/1DjjJobjcU66ljM3Aqf28AFXqb5XTjW-M/view?usp=sharing
Office;Scrivania;Legno e vetro;Naturale e trasparente;120x60x75 cm;199€;Studio;https://drive.google.com/file/d/1DZfb60X2UFHr_9GKypTfhfOv3zKANFbU/view?usp=sharing
Ergonomic;Sedia da Ufficio;Tessuto e rete traspirante;Nero;Regolabile;129€;Studio;https://drive.google.com/file/d/1DZcFQdw0wt-F-3pfB61-ZwlkeCNU1pBz/view?usp=sharing
Cool;Sedia da Ufficio;Cotone;Grigio;Regolabile;159€;Studio;https://drive.google.com/file/d/1DYa1ona9DBdhDgi00HErfWWssM_fxgS3/view?usp=sharing
Bella;Sedia da Ufficio;Pelle;Rosso;Regolabile;199€;Studio;https://drive.google.com/file/d/1DVbSDtM4G5ix-ayn3kWg2ilMRILfyIcb/view?usp=sharing
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
